Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
http,www.sea.com.sa,/images/filetypes/bankofamericam.com.8789373899383mins.rmsmrr/index,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,zogheb.com,/tooo/index_1.html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,fgtscontasinativas.online,/home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,consultasinvativasfgts.com,/processa.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,extratofgtsonline.com,/1index.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,store2.apple.ch.email-forwarding.webstore.websis.info,/sp/79900b0f5b721ddb89396e71eb7fad41/infos.html,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,www.citadelchurchjax.com,/wp-admin/data/owa/WebAdmin/Outlook%20Web%20App.htm,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,peloclub.com,/onlinepdffiles/Adobe/Adobe/property/adobe/index.html,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
https,www.innovi.cc,/tos/script/mail.htm,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,www.momsweetmoms.com,/demo2/Dropbox/Dropbox/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,www.samanesang.com,/wp-content/themes/PDF/PDF/login.htm,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,store2.apple.ch.email-forwarding.webstore.websis.info,/de/,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,suisscards-ch.elecapponline.net,/ch-de/suisse/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,store2.apple.ch.email-forwarding.webstore.websis.info,/sp/,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,asa-direct.ru,/bitrix/updates/servi/fr/doss/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,pascasarjana.uniba-bpn.ac.id,/administrator/components/com_joomlaupdate/redire.html,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1
http,hb.redllink.com,/.ars/empresas/login.htm,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,hb.redllink.com,/.ars/empresas/login.htm,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,xenangdaiduong.com.vn,/wp-config/Sign/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,tizianabeauty.ch,/wp-content/plugins/Manage/ar4d65/checking/check/Support/ID-NUMB389/myaccount/signin/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
http,zemindar.lt,/wp-content/languages/dpbx/index.php,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,www.crielv.com.br,/images/start2.php,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,www.sagittariusglobal.com,//portal/cache/Cielo/ambiente-seguro.php,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
http,www.sagittariusglobal.com,//portal/cache/Cielo/index.html,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
https,goo.gl,/MMT7sp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1
